,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,1
11,0
12,1
13,1
14,1
15,0
16,0
17,0
18,0
19,0
20,0
21,1
22,0
23,0
24,1
25,0
26,1
27,0
28,1
29,0
30,1
31,0
32,0
33,0
34,1
35,1
36,1
37,0
38,1
39,0
40,0
41,1
42,0
43,0
44,1
45,1
46,1
47,1
48,0
49,1
50,1
51,1
52,1
53,1
54,1
55,0
56,0
57,1
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,1
66,0
67,1
68,0
69,0
70,0
71,1
72,1
73,1
74,1
75,0
76,0
77,0
78,1
79,1
80,0
81,0
82,1
83,1
84,0
85,0
86,1
87,1
88,1
89,1
90,0
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,0
101,1
102,1
103,0
104,0
105,0
106,0
107,1
108,0
109,0
110,1
111,0
112,1
113,0
114,0
115,0
116,0
117,1
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,1
130,1
131,0
132,1
133,1
134,1
135,0
136,1
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,1
145,1
146,0
147,1
148,0
149,1
150,0
151,0
152,1
153,0
154,0
155,1
156,0
157,0
158,1
159,0
160,0
161,1
162,0
163,0
164,0
165,1
166,0
167,1
168,1
169,1
170,0
171,1
172,1
173,0
174,0
175,0
176,0
177,1
178,1
179,0
180,0
181,0
182,1
183,1
184,1
185,0
186,1
187,1
188,0
189,0
190,0
191,1
192,1
193,1
194,1
195,0
196,0
197,1
198,0
199,0
200,1
201,0
202,1
203,1
204,1
205,0
206,0
207,0
208,0
209,0
210,1
211,1
212,1
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,1
227,0
228,1
229,1
230,0
231,0
232,0
233,0
234,1
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,1
243,1
244,0
245,1
246,0
247,1
248,1
249,1
250,0
251,0
252,0
253,0
254,0
255,1
256,0
257,0
258,0
259,0
260,0
261,1
262,0
263,1
264,1
265,1
266,0
267,1
268,1
269,0
270,1
271,0
272,1
273,0
274,0
275,0
276,1
277,0
278,1
279,0
280,1
281,0
282,0
283,0
284,1
285,0
286,0
287,0
288,0
289,0
290,1
291,1
292,0
293,0
294,0
295,1
296,0
297,1
298,0
299,0
300,0
301,0
302,1
303,0
304,0
305,0
306,0
307,1
308,0
309,0
310,1
311,0
312,0
313,0
314,1
315,1
316,0
317,1
318,0
319,1
320,1
321,1
322,1
323,0
324,0
325,1
326,1
327,0
328,1
329,0
330,0
331,0
332,0
333,0
334,1
335,1
336,0
337,1
338,0
339,0
340,0
341,0
342,1
343,1
344,0
345,1
346,0
347,1
348,1
349,1
350,0
351,0
352,1
353,0
354,1
355,0
356,0
357,0
358,1
359,1
360,1
361,1
362,0
363,0
364,0
365,0
366,0
367,1
368,1
369,1
370,1
371,1
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,1
380,1
381,1
382,0
383,0
384,1
385,1
386,1
387,0
388,0
389,0
390,0
391,1
392,1
393,0
394,1
395,1
396,0
397,1
398,1
399,1
400,1
401,0
402,0
403,0
404,1
405,0
406,0
407,0
408,0
409,0
410,0
411,1
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,1
423,0
424,0
425,0
426,0
427,0
428,1
429,1
430,1
431,0
432,0
433,0
434,1
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,1
444,0
445,0
446,0
447,0
448,1
449,0
450,0
451,0
452,0
453,1
454,0
455,0
456,1
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,1
477,0
478,0
479,0
480,0
481,1
482,0
483,0
484,0
485,0
486,1
487,1
488,1
489,0
490,0
491,0
492,0
493,0
494,1
495,1
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,1
507,0
508,0
509,0
510,0
511,1
512,1
513,0
514,0
515,0
516,0
517,0
518,1
519,0
520,0
521,1
522,1
523,1
524,1
525,1
526,0
527,0
528,0
529,0
530,0
531,0
532,1
